name	GCNF	CDX2	GATA6	PBX1	KLF4	NANOG	OCT4	Oct4Sox2	SOX2
243	243	1.256529	0.003122	0.000046	30.386403	73.483223	0.345910	573.996051	803.206425	299.155546
244	244	0.001230	0.001248	0.000904	65.760347	122.389332	20.422152	306.865575	235.249688	695.172403
245	245	0.055032	0.000113	0.000192	33.862979	23.127060	0.400451	80.141300	28.814978	36.978351
246	246	32.200541	150.358123	1.258584	1.583961	0.001170	0.000044	0.003850	0.049045	0.281743
247	247	106.543000	118.535879	2.721355	14.349773	0.003856	0.000020	0.006894	0.392483	13.687035
248	248	1.207631	706.704360	0.007127	12.339705	0.001788	0.000497	0.014112	0.013595	0.336720
249	249	1.128923	129.164428	0.012843	4.049374	0.001540	0.000535	0.007705	0.037273	0.624345
250	250	61.359337	71.281214	2.037782	63.531668	0.004682	0.000300	0.000233	0.053934	0.604594
251	251	135.807185	20.174402	7.774641	1.306124	0.000717	0.000001	0.001332	0.068902	0.240047
252	252	0.100848	0.001246	0.000508	41.819184	102.452757	2.079717	130.909048	75.515139	54.875185
253	253	130.705859	136.872614	14.435909	100.749230	0.019893	0.000055	0.006177	0.478011	4.366656
254	254	4.152266	0.000453	8.907762	62.919051	119.004969	0.235176	136.741941	40.607379	257.708623
255	255	79.345528	9.087321	0.037227	2.632432	0.000130	0.000004	0.000034	0.386750	16.110518
256	256	0.165478	0.009397	0.005162	194.025841	195.791049	6.044182	635.669474	89.689053	345.334581
257	257	0.040119	0.000204	0.000316	165.083028	49.412632	1.256160	155.553172	643.216676	174.708501
258	258	0.009512	0.001343	0.000069	54.481745	62.439194	8.365043	350.334680	52.093519	282.242024
259	259	0.234637	0.000065	7.088980	183.488521	129.822983	0.126270	183.342698	100.146209	101.273085
260	260	14.476631	350.848163	0.001083	7.835498	0.000396	0.000026	0.000250	0.005290	9.992253
261	261	1.481114	0.000113	0.000137	144.155693	235.094178	8.551337	56.593364	139.378478	281.559106
262	262	38.463576	55.125885	0.071033	0.998464	0.005767	0.002359	0.000294	0.011081	0.021918
263	263	23.685595	42.625977	0.820471	12.370389	0.000059	0.000016	0.000275	0.032355	0.046529
264	264	0.026513	0.000586	0.007250	58.885846	141.645013	1.717656	135.539261	17.650792	77.571188
265	265	149.688129	81.140484	2.838563	2.542287	0.002615	0.000000	0.002419	0.027888	0.554108
266	266	202.362478	101.847658	0.797278	14.086439	0.000927	0.000270	0.001439	0.195822	0.648907
267	267	1.229134	137.569706	0.005201	1.072443	0.002132	0.000139	0.070848	0.009269	1.155290
268	268	70.211332	615.435562	5.827237	0.805631	0.010816	0.000000	0.000711	0.016561	1.156086
269	269	12.603539	27.767781	0.014827	2.188339	0.002206	0.000484	0.010085	0.004288	1.260780
270	270	3.344378	113.935222	0.027895	1.994200	0.021132	0.000166	1.277741	3.139883	16.679152
271	271	91.259130	51.072331	4.780256	1.565393	0.000486	0.000000	0.000519	2.259234	21.823385
272	272	6.586221	11.800835	0.145879	20.775078	0.005017	0.000137	0.075210	0.048960	0.938093
273	273	38.669575	499.700551	2.303897	5.092002	0.001163	0.000078	0.000767	0.158052	0.890976
274	274	34.600740	456.795618	1.555185	0.338436	0.021652	0.000007	0.005554	2.149546	84.371743
275	275	0.001553	0.004054	0.001914	72.214818	25.404902	6.870319	397.243554	687.097013	78.606189
276	276	0.017626	0.000870	0.024747	121.923719	398.863418	1.277856	197.292459	188.973221	283.351494
277	277	140.697511	333.703267	12.383910	1.734547	0.000082	0.000005	0.001708	0.069632	1.403385
278	278	86.396861	199.960745	3.079886	5.194274	0.005785	0.000016	0.017412	0.023850	0.998660
279	279	6.262645	207.639484	0.092875	0.102373	0.077060	0.000013	0.004293	0.275150	9.875488
