Name	Gcnf	Gata6	Pbx1	Klf4	Nanog
1_225_1	1.468609	1.441997	-0.183321	-0.654019	-1.260163
1_226_1	-1.401546	-1.675813	0.939914	1.300864	1.287732
1_227_1	-0.661149	1.354963	0.370940	0.340290	0.470905
1_228_1	-0.622258	-0.467070	-1.103461	-1.074506	-0.165287
1_229_1	1.633547	0.952897	-0.133066	-0.968394	-1.680274
1_230_1	-1.306867	-1.478255	0.048506	1.335491	0.798515
1_231_1	-0.974781	-0.980433	0.308886	1.452284	0.868973
1_232_1	1.544787	0.733117	-0.663121	-1.464006	-1.288772
1_233_1	1.377705	-0.096292	-1.073062	-1.456608	-0.507431
1_234_1	0.776266	0.633652	-0.972017	-1.359297	-0.994520
1_235_1	1.674055	0.735994	-0.743192	-1.337566	-0.863540
1_236_1	1.202222	1.123308	-0.422312	-1.656618	-1.184832
1_237_1	0.529825	-0.164056	-0.315626	-0.385166	-1.275252
1_238_1	1.179525	1.104774	0.420613	-1.397740	-1.032879
1_239_1	1.448179	-0.776924	-0.933210	-1.105285	-0.386649
1_240_1	1.126899	1.077994	-0.987884	-0.665781	-1.396893
1_241_1	1.162279	0.993002	-0.661861	-1.336122	-1.192902
1_242_1	-1.729847	-0.844648	1.805644	0.984357	1.444063
1_243_1	-0.155130	-2.183321	0.570483	1.224618	0.918419
1_244_1	-2.488576	-1.388222	0.925350	1.336436	1.692870
1_245_1	-1.208619	-1.802303	0.620276	0.971227	0.946223
1_246_1	0.937233	0.543927	-0.787383	-1.196859	-0.783726
1_247_1	1.340202	0.749772	0.225618	-0.935528	-0.931984
1_248_1	-0.168497	-0.837141	0.156250	-1.103978	-0.324628
1_249_1	-0.191195	-0.679949	-0.355931	-1.136674	-0.310650
1_250_1	1.154371	0.672556	0.909501	-0.892972	-0.420300
1_251_1	1.421933	1.029983	-0.876035	-1.304206	-1.490759
1_252_1	-1.004636	-1.542052	0.717279	1.297464	1.259064
1_253_1	1.409039	1.195175	1.121449	-0.575882	-0.741582
1_254_1	0.247414	1.066301	0.905048	1.330290	0.845147
1_255_1	1.240944	-0.395871	-0.553885	-1.678397	-1.228367
1_256_1	-0.837858	-0.923241	1.422690	1.439419	1.461662
1_257_1	-1.315057	-1.668647	1.348435	1.137634	1.163321
1_258_1	-1.799773	-2.074509	0.838864	1.188921	1.523373
1_259_1	-0.720256	1.005338	1.397023	1.349361	0.727046
1_260_1	0.668002	-1.340040	-0.052508	-1.434633	-0.881736
1_261_1	-0.099751	-1.891248	1.286126	1.479517	1.527555
1_262_1	0.997087	-0.223401	-0.999500	-0.847280	-0.028824
1_263_1	0.833805	0.429716	0.157391	-1.851692	-0.980872
1_264_1	-1.454557	-0.832577	0.874596	1.368463	1.222741
1_265_1	1.454707	0.761028	-0.569901	-1.020633	-1.790490
1_266_1	1.556246	0.422062	0.217104	-1.247918	-0.440379
1_267_1	-0.162554	-0.921256	-0.966645	-1.065407	-0.565887
1_268_1	1.199756	0.953019	-1.098139	-0.709434	-2.519757
1_269_1	0.621339	-0.641597	-0.638814	-1.057863	-0.329555
1_270_1	0.174545	-0.472902	-0.681517	-0.562633	-0.532240
1_271_1	1.288055	0.900153	-0.792803	-1.389427	-2.021757
1_272_1	0.402775	-0.031306	0.395701	-0.877835	-0.569272
1_273_1	0.998886	0.705320	-0.250619	-1.198148	-0.676978
1_274_1	0.961444	0.600413	-1.496798	-0.557303	-1.127900
1_275_1	-2.410031	-1.188075	0.968387	0.991817	1.485991
1_276_1	-1.592037	-0.504866	1.209134	1.595386	1.166573
1_277_1	1.433846	1.154249	-0.745637	-1.780032	-1.193618
1_278_1	1.269616	0.782808	-0.241478	-0.846591	-0.982349
1_279_1	0.385809	-0.151834	-2.046420	-0.279052	-1.016560
1_280_1	-0.892892	-0.547024	0.309253	1.188310	1.230629
1_281_1	1.140013	0.753128	-0.615487	-1.054641	-1.537218
1_282_1	1.093547	0.351118	-0.274721	-0.889275	-1.460752
1_283_1	-0.430602	-0.585760	-0.903202	-1.508566	-0.853059
1_284_1	1.043157	0.485247	-0.426503	-1.137414	-0.955058
1_285_1	-0.573195	-1.654890	-0.731797	-1.175469	-1.555550
1_286_1	0.879032	0.631083	0.153202	-1.209848	-1.394504
1_287_1	1.615531	1.530177	-0.687526	1.244090	0.009056
1_288_1	1.781366	1.262104	-0.522570	-0.776166	-1.210128
1_289_1	0.809908	1.110820	-2.111099	-1.218391	-0.476159
1_290_1	-1.448397	-1.020216	0.911390	1.469832	1.341646
1_291_1	1.085602	1.045760	-0.527459	-0.908895	-1.808301
1_292_1	-1.304254	-0.986953	0.552848	1.658272	1.452164
1_293_1	-0.182188	-0.569515	-1.130963	-0.924378	-1.212612
1_294_1	0.668348	-0.754658	-1.276677	-1.881817	-1.168282
1_295_1	0.350346	0.666671	-1.256270	-0.625746	-0.919243
1_296_1	1.523181	1.041517	-0.474073	-1.304021	-1.091398
1_297_1	1.327546	1.414459	0.054278	-1.200189	-1.925281
1_298_1	1.190045	1.730016	-0.300836	-1.652714	-2.143496
1_299_1	-0.906797	-1.810916	0.911484	1.501028	1.314679
1_300_1	1.146678	0.583127	-0.333551	-1.056428	-0.576055
1_301_1	-0.479730	-2.268670	1.324989	0.968298	1.020697
1_302_1	1.093890	0.756948	-0.914548	-0.761527	-1.404663
1_303_1	-1.469798	-1.995377	0.425182	1.490823	0.978974
1_304_1	0.455843	-0.810028	-0.067826	-0.989628	-0.670812
1_305_1	0.365285	-0.878773	0.611114	-0.984840	-0.121496
1_306_1	0.294565	-0.481325	1.719433	1.253920	1.390456
1_307_1	-1.065924	-2.070588	1.154735	1.325852	1.719787
1_308_1	0.798614	1.167175	-0.436693	-1.685221	-0.971378
1_309_1	-0.142506	-0.048216	-1.090559	-2.086206	-0.456006
1_310_1	-1.832529	-2.069963	0.925978	1.579435	1.145069
1_311_1	-1.886389	-0.518828	1.083321	1.212560	1.059781
1_312_1	1.200313	0.891411	-0.140590	-0.489343	-0.766798
1_313_1	-1.389180	-1.338927	1.622985	1.012793	1.271766
1_314_1	1.085711	1.311732	-0.954882	-0.725506	-1.697417
1_315_1	-1.145777	-1.770297	0.959613	1.309929	1.251277
1_316_1	-1.052367	-2.066647	0.852670	1.402531	1.532631
1_317_1	0.959754	0.455002	-0.561764	0.058336	-0.839623
1_318_1	1.300613	1.014033	0.220944	-0.407743	-1.283724
1_319_1	0.274647	0.105072	-0.389112	-0.316592	-0.767536
1_320_1	-0.108862	1.777563	-1.714400	0.568570	-0.223900
1_321_1	1.304990	1.013391	-0.130401	-1.573833	-0.472120
1_322_1	0.147417	-0.918777	-0.606582	-0.539520	-0.525434
1_323_1	0.194356	-1.350877	-1.262180	-1.621768	0.002855
1_324_1	1.861316	0.898880	-1.240898	-0.324824	-1.462917
1_325_1	-1.443457	-0.796823	1.764645	1.384693	1.293677
1_326_1	-1.376329	-2.221735	1.554991	1.132537	1.600389
1_327_1	0.097313	-0.026446	-0.821657	-0.976786	-0.924034
1_328_1	-1.118441	-1.236830	2.143261	0.939684	1.384861
1_329_1	1.356539	0.015784	-1.780481	-0.768301	-1.847718
1_330_1	-0.615084	-0.463345	-1.136548	-0.735784	-1.539136
1_331_1	-0.936628	-0.513232	-0.429085	0.862206	0.933734
1_332_1	-2.177101	-1.799537	1.544365	1.485503	1.517861
1_333_1	0.366880	0.471239	-0.896027	-1.742841	-2.089056
1_334_1	1.420764	0.959697	-1.159742	-1.512027	-1.393659
1_335_1	-0.101634	-0.979045	-0.247292	-1.155482	-1.027650
1_336_1	0.113809	-0.561325	-1.342444	-1.354680	-0.661862
1_337_1	-0.792602	-0.374282	1.176430	1.509430	1.340381
1_338_1	-1.364028	-1.872344	1.351249	1.104226	1.221006
1_339_1	0.024433	-0.554824	-0.011996	-1.170740	-0.701252
1_340_1	-1.126238	-1.843624	0.736165	1.470372	1.716138
1_341_1	1.384455	0.855475	-0.343915	-1.040818	-1.532034
1_342_1	-1.688738	-0.890164	0.458086	0.718824	0.790740
1_343_1	0.959490	0.842966	-1.001066	-1.249569	-1.959886
1_344_1	1.463767	0.773734	0.262040	-1.078373	-1.350272
1_345_1	-1.938839	-1.350590	1.365311	1.542486	1.520403
1_346_1	-2.047682	-0.959158	0.745473	1.453481	0.806577
1_347_1	-1.073352	-1.096886	0.980833	1.416297	1.644712
1_348_1	-0.266136	-0.832849	-0.191872	-1.233907	-0.658410
1_349_1	-1.025929	-1.242408	1.422111	1.425854	1.684875
1_350_1	0.759156	0.756826	-0.917849	-0.406723	-1.685893
1_351_1	0.473297	-0.814603	-0.928562	-1.284052	-1.131917
1_352_1	0.786790	1.598558	-1.865222	-0.200379	-1.446286
