id	Gcnf	Cdx2	Gata6	Pbx1	Klf4	Nanog	Oct4	Oct4-Sox2	Sox2
250	1.426590	0.663890	1.032458	-0.874247	-1.309103	-1.497408	-1.480243	-1.059916	-1.780734
251	-1.004261	-1.318939	-1.540716	0.713051	1.287982	1.256322	1.146548	0.983961	0.644141
252	1.413674	1.055581	1.197723	1.115695	-0.582062	-0.747166	-1.129688	-0.494312	-0.485743
253	0.249998	-1.525778	1.068792	0.900111	1.320750	0.841817	1.156509	0.802804	1.334629
254	1.245282	0.500733	-0.394027	-0.553314	-1.682635	-1.234643	-2.319937	-0.556175	0.097029
255	-0.837189	-0.905573	-0.921631	1.415798	1.429687	1.459207	1.507627	1.034191	1.465285
256	-1.315230	-1.688622	-1.667367	1.341824	1.128434	1.160443	1.185962	1.609483	1.161106
257	-1.800802	-1.303610	-2.073409	0.834177	1.179630	1.521006	1.371486	0.875541	1.375223
258	-0.719379	-1.921546	1.007802	1.390228	1.339787	0.723548	1.223521	1.066394	0.917681
259	0.671328	1.248150	-1.338614	-0.053830	-1.439301	-0.887520	-1.862342	-1.809478	-0.116202
260	-0.097779	-1.809529	-1.890066	1.279750	1.469714	1.525195	0.954921	1.162920	1.374141
261	1.000995	0.869532	-0.221481	-0.997246	-0.852983	-0.033396	-1.825417	-1.593552	-2.849229
