Pattern,avgS,ha,hb,hc,hd,he,hf,hg,hh,hi,hj
cdx2_down_s7,2.1021,1.0876842253237666,1.084091375562116,1.052518314992065,1.0550669112933302,1.0560998929671863,1.057407293853171,7723.274391707659,7941.808759680061,7693.318829742677,7892.490297856465
cdx2_down_s8,2.0867,1.0767617424750684,1.0750235412474436,1.050657769094562,0.08261064034833798,1.0505792742374263,1.0530788472219745,7732.581541439578,7948.250812937565,7712.281073926489,7912.286801208186
cdx2_down_s9,2.0668,1.0661847637398758,1.0660612364921236,1.0410326617504637,0.07464452533182286,1.045981300623073,1.0493938222921781,7718.88681421624,7923.580417173942,7706.37709399005,7899.769424954959
cdx2_down_s10,2.0559,1.0597290423106693,1.0601029330211726,1.0411542507872604,1.0457146515736007,1.043872019165819,1.0470144257896383,7723.540078595173,7927.715282438455,7715.0036605655105,7910.265981899124
klf4_down_s6,2.6486,1.1784407643576396,1.1574976960114673,1.1474558606840894,1.133191809550547,1.1507297309086704,1.1358234856616405,9551.669285944425,9423.908191406405,9519.817781122152,9392.186897954558
klf4_down_s7,2.6438,1.1770673386168151,1.156355014853881,1.14985731567177,1.135753133769966,1.1493032799574951,1.1352015921812368,9525.990048610913,9397.521914101779,9496.038247231923,9366.5195784946
klf4_down_s8,2.6434,1.1762894826842587,1.1559712910595579,1.144044786187022,1.1333474906631131,1.1485276458142286,1.1348732649875213,9509.47565737615,9375.631013132777,9479.755854829811,9345.879207865333
klf4_down_s9,2.6395,1.1748500790244454,1.1546383148054045,1.145477301734284,1.1329371183969064,1.1473905540049218,1.134187302544872,9494.215317842809,9357.10662024781,9465.569891290648,9327.407279733294
klf4_down_s10,2.6356,1.1739073606470845,1.1538890348299693,1.1435444999143787,1.1310380442953156,1.1469759674563929,1.1338299755969201,9473.270918397073,9332.867581947032,9445.59116315315,9304.840951475306
nanog_down_s6,2.5771,1.1528468803397676,1.1260710922449755,1.0964486847724708,1.0658843959529614,1.09505577024203,1.0662270339801734,9283.347320486748,9310.258270279492,9084.886375963879,9124.805789417896
nanog_down_s7,2.576,1.1508592428966171,1.1232774896977857,1.0917927090472626,1.0590058043471764,1.092379994839381,1.0625405570184354,9276.073748606543,9306.134659194828,9073.339942591761,9115.259987501946
nanog_down_s8,2.5677,1.1488137826008675,1.1206054509740446,1.0838094866462418,1.0542692311152193,1.0897400986082737,1.0593892928078688,9244.902143661679,9284.028592746092,9041.493121403622,9088.747382315447
nanog_down_s9,2.5656,1.1472594017677165,1.118201725158157,1.0836978483376551,1.0537029802097597,1.0879857933492298,1.0566525526414694,9239.031106646646,9281.068833841606,9034.959872588377,9085.447373626146
nanog_down_s10,2.5602,1.1452149132838019,1.1152477772234908,1.0906146677098338,1.0572043492813707,1.086361237036754,1.053423160130288,9224.566520130333,9265.136164442234,9019.524688688283,9069.226166433546
pbx1_down_s6,2.5461,1.1509370352012758,1.1305329806079358,1.1274128422043113,0.5160911018167895,1.1296244582957462,1.1195339521968755,9375.475765597601,9220.34234793625,9297.581537386024,9179.038931274106
pbx1_down_s7,2.5429,1.1484285799778087,0.5121979878289051,1.1248993017108406,0.5200378445364953,1.1279348342903117,0.5171125516984122,9404.881656087131,9235.248411481854,9325.478556543005,9194.174914143481
pbx1_down_s8,2.5424,1.1462981156480025,0.5143176809488451,1.1221333504245854,0.5204849735090844,1.1257534682236314,0.5202077474363025,9429.58108638981,9255.000384857827,9347.807304045702,9213.592593319436
pbx1_down_s9,2.5409,1.1444806937930476,0.5161384278275338,0.5659772543424602,0.5244019081733511,1.1242206206147,0.5232892317469311,9447.278050982479,9271.28082810113,9363.610556685062,9230.34510394692
pbx1_down_s10,2.5412,1.1423074752841125,0.5170540155206332,-0.778553428031618,-1.120980110549593,1.1221382260979493,0.525236066524594,9474.914429915285,9300.647711380438,9388.057398603778,9260.065318765337
oct4_down_s6,1.9788,0.9075584114435709,0.8807861234800471,0.8423600353400651,0.8162626717698043,0.8418908672480394,0.8164643360654515,7968.134137992511,7600.201489507014,7797.491051346016,7463.57876047338
